times,egoAcc,actVel,actAcc,disInit,DTC,isCollision
1,2.9,15,0,115,76.0632923980683,Success
2,2.9,15,0,115,76.0632923980683,Success
3,2.9,15,0,115,76.0632923980683,Success
4,2.9,15,0,115,76.0632923980683,Success
5,2.9,15,0,115,76.0632923980683,Success
6,2.9,15,0,115,76.0632923980683,Success
7,2.9,15,0,115,76.0632923980683,Success
8,2.9,15,0,115,76.0632923980683,Success
9,2.9,15,0,115,76.0632923980683,Success
10,2.9,15,0,115,76.0632923980683,Success
11,2.9,30,0,99,27.2750360283877,Success
12,2.9,30,0,99,27.2750360283877,Success
13,2.9,30,0,99,27.2750360283877,Success
14,2.9,30,0,99,27.2750360283877,Success
15,2.9,30,0,99,27.2750360283877,Success
16,2.9,30,0,99,27.2750360283877,Success
17,2.9,30,0,99,27.2750360283877,Success
18,2.9,30,0,99,27.2750360283877,Success
19,2.9,30,0,99,27.2750360283877,Success
20,2.9,30,0,99,27.2750360283877,Success
21,2.9,48,0,82.8,1.82357591233892,Success
22,2.9,48,0,82.8,1.82357591233892,Success
23,2.9,48,0,82.8,1.82357591233892,Success
24,2.9,48,0,82.8,1.82357591233892,Success
25,2.9,48,0,82.8,1.82357591233892,Success
26,2.9,48,0,82.8,1.82357591233892,Success
27,2.9,48,0,82.8,1.82357591233892,Success
28,2.9,48,0,82.8,1.82357591233892,Success
29,2.9,48,0,82.8,1.82357591233892,Success
30,2.9,48,0,82.8,1.82357591233892,Success
31,2.2,15,0,115,76.0632923980683,Success
32,2.2,15,0,115,76.0632923980683,Success
33,2.2,15,0,115,76.0632923980683,Success
34,2.2,15,0,115,76.0632923980683,Success
35,2.2,15,0,115,76.0632923980683,Success
36,2.2,15,0,115,76.0632923980683,Success
37,2.2,15,0,115,76.0632923980683,Success
38,2.2,15,0,115,76.0632923980683,Success
39,2.2,15,0,115,76.0632923980683,Success
40,2.2,15,0,115,76.0632923980683,Success
41,2.2,30,0,99,27.2750360283877,Success
42,2.2,30,0,99,27.2750360283877,Success
43,2.2,30,0,99,27.2750360283877,Success
44,2.2,30,0,99,27.2750360283877,Success
45,2.2,30,0,99,27.2750360283877,Success
46,2.2,30,0,99,27.2750360283877,Success
47,2.2,30,0,99,27.2750360283877,Success
48,2.2,30,0,99,27.2750360283877,Success
49,2.2,30,0,99,27.2750360283877,Success
50,2.2,30,0,99,27.2750360283877,Success
51,2.2,48,0,82.8,1.82357591233892,Success
52,2.2,48,0,82.8,1.82357591233892,Success
53,2.2,48,0,82.8,1.82357591233892,Success
54,2.2,48,0,82.8,1.82357591233892,Success
55,2.2,48,0,82.8,1.82357591233892,Success
56,2.2,48,0,82.8,1.82357591233892,Success
57,2.2,48,0,82.8,1.82357591233892,Success
58,2.2,48,0,82.8,1.82357591233892,Success
59,2.2,48,0,82.8,1.82357591233892,Success
60,2.2,48,0,82.8,1.82357591233892,Success
61,1.6,15,0,115,76.0632923980683,Success
62,1.6,15,0,115,76.0632923980683,Success
63,1.6,15,0,115,76.0632923980683,Success
64,1.6,15,0,115,76.0632923980683,Success
65,1.6,15,0,115,76.0632923980683,Success
66,1.6,15,0,115,76.0632923980683,Success
67,1.6,15,0,115,76.0632923980683,Success
68,1.6,15,0,115,76.0632923980683,Success
69,1.6,15,0,115,76.0632923980683,Success
70,1.6,15,0,115,76.0632923980683,Success
71,1.6,30,0,99,27.2750360283877,Success
72,1.6,30,0,99,27.2750360283877,Success
73,1.6,30,0,99,27.2750360283877,Success
74,1.6,30,0,99,27.2750360283877,Success
75,1.6,30,0,99,27.2750360283877,Success
76,1.6,30,0,99,27.2750360283877,Success
77,1.6,30,0,99,27.2750360283877,Success
78,1.6,30,0,99,27.2750360283877,Success
79,1.6,30,0,99,27.2750360283877,Success
80,1.6,30,0,99,27.2750360283877,Success
71,1.6,48,0,82.8,1.82357591233892,Success
72,1.6,48,0,82.8,1.82357591233892,Success
73,1.6,48,0,82.8,1.82357591233892,Success
74,1.6,48,0,82.8,1.82357591233892,Success
75,1.6,48,0,82.8,1.82357591233892,Success
76,1.6,48,0,82.8,1.82357591233892,Success
77,1.6,48,0,82.8,1.82357591233892,Success
78,1.6,48,0,82.8,1.82357591233892,Success
79,1.6,48,0,82.8,1.82357591233892,Success
80,1.6,48,0,82.8,1.82357591233892,Success
