times,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,2.9,15,0,115,89.3506555317058,27420,Success
2,2.9,15,0,115,89.3506555317058,27420,Success
3,2.9,30,0,99,53.6864158065969,11800,Success
4,2.9,30,0,99,53.6864158065969,11800,Success
5,2.9,48,0,82.8,14.2447670801082,6180,Success
6,2.9,48,0,82.8,14.2447670801082,6180,Success
7,2.2,15,0,115,88.7682022441877,27420,Success
8,2.2,15,0,115,88.7682022441877,27420,Success
9,2.2,30,0,99,52.5243147753924,11800,Success
10,2.2,30,0,99,52.5243147753924,11800,Success
11,2.2,48,0,82.8,12.4481931580072,6180,Success
12,2.2,48,0,82.8,12.4481931580072,6180,Success
